distance,time_since_cal,error_baseline,error_daqec,improvement_pct,selections_differ,platform,session_id
7,7.720012157035663,0.1316959560352872,0.028249016167416784,78.54982262337074,True,ibm,0
7,15.591103107395675,0.2713756773216552,0.03002358131039308,88.93652459693106,True,ibm,1
7,9.171637049481163,0.24010122066228393,0.028427955552774286,88.16001206726065,True,ibm,2
7,21.951891160491783,0.2924081002194183,0.03127515795764615,89.30427784518358,True,ibm,3
7,19.07361628633929,0.2620376635608607,0.031242923977938614,88.07693384478596,True,ibm,4
7,14.327704966274576,0.23920338695296714,0.03285722997501248,86.26389433964287,True,ibm,5
7,7.4771880382918265,0.20394239955546684,0.027876338653626934,86.33126867469002,True,ibm,6
7,22.012827087045522,0.29604550706127514,0.03155326209999478,89.34175275510468,True,ibm,7
7,10.853687450739557,0.15713823331371876,0.02867878211865902,81.74932891004111,True,ibm,8
7,9.161062549518629,0.19985970473180945,0.02795504865813995,86.01266388557279,True,ibm,9
7,2.058186753076174,0.10265837448536405,0.026814241975614855,73.88012219165057,True,ibm,10
7,1.8265771863264337,0.07178307784471809,0.02675238535133978,62.731626792026354,True,ibm,11
7,5.552411358285476,0.15950538345435958,0.028032203507876274,82.42554395294293,True,ibm,12
7,3.973531678547091,0.17810498525864318,0.027494746954982257,84.56261798901669,True,ibm,13
7,14.367156719552039,0.2833405141612806,0.029169015355742227,89.70531431338517,True,ibm,14
7,12.229064450225128,0.2077793512004891,0.029329043943535534,85.88452424455039,True,ibm,15
7,2.59004549184694,0.10042421033654565,0.026873334426847594,73.24018348086722,True,ibm,16
7,13.912324783025344,0.28767343551141755,0.030229560754584342,89.49170934019574,True,ibm,17
7,12.106526708017206,0.25247619189128245,0.029647082754828143,88.25747388981756,True,ibm,18
7,15.333231457740855,0.2362364602516089,0.029294466442248826,87.59951515907065,True,ibm,19
7,22.206156239688664,0.2960804672084171,0.03315931908197519,88.8005718868872,True,ibm,20
7,18.15992192640185,0.3201638174851228,0.03177773222181671,90.07453981795013,True,ibm,21
7,6.338680694551008,0.18581660525188157,0.027115132911007072,85.40758352879634,True,ibm,22
7,6.506485553791467,0.14335384980673585,0.027674148502994492,80.69521778431223,True,ibm,23
7,3.3561323527599285,0.1390053762926664,0.02849588147277548,79.5001587472564,True,ibm,24
7,2.004316159777404,0.05921901018940702,0.026490560825808723,55.2667956774676,True,ibm,25
7,14.259513709616591,0.24218983397442917,0.03061637999278357,87.3585197651128,True,ibm,26
7,8.035868420744727,0.25685978860376124,0.027893410753190434,89.14060822645169,True,ibm,27
7,5.91480944972312,0.12379610700946235,0.027762122079362787,77.57431735939743,True,ibm,28
7,3.3170061133901445,0.10811916975621232,0.026912188112519848,75.1087728723763,True,ibm,29
7,4.268988715717838,0.1684320106235465,0.027490036465305238,83.6788527527901,True,ibm,30
7,20.3257405045141,0.2757859040243196,0.031049108243146644,88.74158983832305,True,ibm,31
7,21.252465886900495,0.3173301021306356,0.03347850308499012,89.44994412436549,True,ibm,32
7,12.053930813511542,0.23204978433125462,0.029202042169840514,87.4156133116012,True,ibm,33
7,16.089662008505627,0.2238529348015885,0.03111282735403713,86.10121981129535,True,ibm,34
